2000-01-15,1,What A Girl Wants,Christina Aguilera
2000-01-15,2,Smooth, Santana Featuring Rob Thomas
2000-01-15,3,Back At One,Brian McKnight
2000-01-15,4,I Knew I Loved You,Savage Garden
2000-01-15,5,I Wanna Love You Forever,Jessica Simpson
2000-01-15,6,My Love Is Your Love,Whitney Houston
2000-01-15,7,Hot Boyz,Missy "Misdemeanor" Elliott Featuring NAS, EVE & Q-Tip
2000-01-15,8,Auld Lang Syne,Kenny G
2000-01-15,9,I Need To Know,Marc Anthony
2000-01-15,10,Bring It All To Me,Blaque
2000-01-15,11,Blue (Da Ba Dee),Eiffel 65
2000-01-15,12,Girl On TV,LFO
2000-01-15,13,U Know What's Up,Donell Jones
2000-01-15,14,That's The Way It Is,Celine Dion
2000-01-15,15,Then The Morning Comes,Smash Mouth
2000-01-15,16,24/7,Kevon Edmonds
2000-01-15,17,Waiting For Tonight,Jennifer Lopez
2000-01-15,18,He Can't Love U,Jagged Edge
2000-01-15,19,Get It On Tonite,Montell Jordan
2000-01-15,20,Learn To Fly,Foo Fighters
2000-01-15,21,Meet Virginia,Train
2000-01-15,22,Steal My Sunshine,Len
2000-01-15,23,Amazed,Lonestar
2000-01-15,24,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne
2000-01-15,25,Unpretty,TLC
2000-01-15,26,Where My Girls At?
 ,702
2000-01-15,27,Someday,Sugar Ray
2000-01-15,28,Big Deal,LeAnn Rimes
2000-01-15, 29,Hanginaround,Counting Crows
2000-01-15,30,Breathe,Faith Hill
2000-01-15,31,Take A Picture,Filter
2000-01-15,32,Mambo No. 5 (A Little Bit Of...),Lou Bega
2000-01-15,33,Rhythm Divine,Enrique Iglesias
2000-01-15,34,Black Balloon,Goo Goo Dolls
2000-01-15,35,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi
2000-01-15,36,Dancin',Guy
2000-01-15,37,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees
2000-01-15,38,Say My Name,Destiny's Child
2000-01-15,39,Cowboy Take Me Away,Dixie Chicks
2000-01-15,40,Got Your Money,Ol' Dirty Bastard Featuring Kelis
2000-01-15,41,Stay The Night,IMx
2000-01-15,42,He Didn't Have To Be,Brad Paisley
2000-01-15,43,What Do You Say,Reba
2000-01-15,44,Get Gone,Ideal
2000-01-15,45,If You Love Me,Mint Condition
2000-01-15,46,My Best Friend,Tim McGraw
2000-01-15,47,Shake Your Bon-Bon,Ricky Martin
 
2000-01-15,48,4, 5, 6,Sole Featuring JT Money & Kandi
2000-01-15,49,Got To Get It,Sisqo Featuring Make It Hot
2000-01-15,50,All The Small Things,Blink-182
2000-01-15,51,Satisfy You,Puff Daddy Featuring R. Kelly
2000-01-15,52,Pop A Top,Alan Jackson
2000-01-15,53,When I Said I Do,Clint Black
2000-01-15,54,Angels,Robbie Williams
2000-01-15,55,Show Me The Meaning Of Being Lonely,Backstreet Boys
2000-01-15,56,Caught Out There,Kelis
2000-01-15,57,Will 2K,Will Smith Featuring K-Ci
2000-01-15,58,Sexual (Li Da Di),Amber
2000-01-15,59,Bling Bling,B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
2000-01-15,60,Higher,Creed
2000-01-15,61,Heartbreaker,Mariah Carey Featuring Jay-Z
2000-01-15,62,The Great Beyond,R.E.M.
2000-01-15,63,None Of Ur Friends Business,Ginuwine
2000-01-15,64,Don't Say You Love Me,M2M
2000-01-15,65,Smile,Lonestar
2000-01-15,66,No More Rain (In This Cloud),Angie Stone
2000-01-15,67,Deep Inside,Mary J. Blige
2000-01-15,68,All Things Considered,Yankee Grey
2000-01-15,69,I Wanna Know,Joe
2000-01-15,70,Falls Apart
 ,Sugar Ray
2000-01-15,71,Home To You,John Michael Montgomery
2000-01-15,72,There She Goes,Sixpence None The Richer
2000-01-15,73,(You Drive Me) Crazy,Britney Spears
2000-01-15,74,One Night Stand,J-Shin Featuring LaTocha Scott
 
2000-01-15,75,The Chemicals Between Us,Bush
2000-01-15,76,The Rockafeller Skank,Fatboy Slim
2000-01-15,77,G'd Up,Snoop Dogg Presents Tha Eastsidaz
2000-01-15,78,15 Minutes,Marc Nelson
2000-01-15,79,This Gift,98 Degrees
2000-01-15,80,We Can't Be Friends,Deborah Cox With R.L.
2000-01-15,81,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.
2000-01-15,82,Live, Laugh, Love,Clay Walker
2000-01-15,83,Guerrilla Radio,Rage Against The Machine
2000-01-15,84,N 2 Gether Now,Limp Bizkit Featuring Method Man
2000-01-15,85,She Thinks My Tractor's Sexy,Kenny Chesney
2000-01-15,86,Bug A Boo,Destiny's Child
2000-01-15,87,Larger Than Life,Backstreet Boys
2000-01-15,88,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim
2000-01-15,89,Back At One,Mark Wills
